Sample,Treatment,Replicate,Timepoint,Group,Type,TypeTime
ETOH_R1T144,Control,Rep1,T144,ControlT144,Control,ControlT144
ETOH_R2T144,Control,Rep2,T144,ControlT144,Control,ControlT144
ETOH_R3T144,Control,Rep3,T144,ControlT144,Control,ControlT144
Control_R2T2,Control,Rep2,T2,ControlT2,Control,ControlT2
Control_R3T2,Control,Rep3,T2,ControlT2,Control,ControlT2
Control_R1T2,Control,Rep1,T2,ControlT2,Control,ControlT2
ETOH_R1T48,Control,Rep1,T48,ControlT48,Control,ControlT48
ETOH_R2T48,Control,Rep2,T48,ControlT48,Control,ControlT48
ETOH_R3T48,Control,Rep3,T48,ControlT48,Control,ControlT48
ETOH_R1T96,Control,Rep1,T96,ControlT96,Control,ControlT96
ETOH_R2T96,Control,Rep2,T96,ControlT96,Control,ControlT96
ETOH_R3T96,Control,Rep3,T96,ControlT96,Control,ControlT96
cZ_R1T144,cZ,Rep1,T144,cZT144,cZ,cZT144
cZ_R2T144,cZ,Rep2,T144,cZT144,cZ,cZT144
cZ_R3T144,cZ,Rep3,T144,cZT144,cZ,cZT144
cZ_R2T2,cZ,Rep2,T2,cZT2,cZ,cZT2
cZ_R3T2,cZ,Rep3,T2,cZT2,cZ,cZT2
cZ_R1T2,cZ,Rep1,T2,cZT2,cZ,cZT2
cZ_R1T48,cZ,Rep1,T48,cZT48,cZ,cZT48
cZ_R2T48,cZ,Rep2,T48,cZT48,cZ,cZT48
cZ_R3T48,cZ,Rep3,T48,cZT48,cZ,cZT48
cZ_R1T96,cZ,Rep1,T96,cZT96,cZ,cZT96
cZ_R2T96,cZ,Rep2,T96,cZT96,cZ,cZT96
cZ_R3T96,cZ,Rep3,T96,cZT96,cZ,cZT96
cZ9G_R1T144,cZ9G,Rep9,T144,cZ9GT144,Conjugate,ConjugateT144
cZ9G_R2T144,cZ9G,Rep9,T144,cZ9GT144,Conjugate,ConjugateT144
cZ9G_R3T144,cZ9G,Rep9,T144,cZ9GT144,Conjugate,ConjugateT144
cZ9G_R2T2,cZ9G,Rep9,T2,cZ9GT2,Conjugate,ConjugateT2
cZ9G_R1T2,cZ9G,Rep9,T2,cZ9GT2,Conjugate,ConjugateT2
cZ9G_R1T48,cZ9G,Rep9,T48,cZ9GT48,Conjugate,ConjugateT48
cZ9G_R2T48,cZ9G,Rep9,T48,cZ9GT48,Conjugate,ConjugateT48
cZ9G_R3T48,cZ9G,Rep9,T48,cZ9GT48,Conjugate,ConjugateT48
cZ9G_R1T96,cZ9G,Rep9,T96,cZ9GT96,Conjugate,ConjugateT96
